topic_id,category
27,Nursing
27,Psychology
27,Social Sciences
27,Veterinary
28,Agricultural and Biological Sciences
28,Arts and Humanities
28,Biochemistry
28,Business
28,Computer Science
28,Decision Sciences
28,Earth and Planetary Sciences
28,Economics
28,Environmental Science
28,Health Professions
28,Immunology and Microbiology
28,Medicine
28,Multidisciplinary
28,Neuroscience
28,Nursing
28,Psychology
28,Social Sciences
28,Veterinary
29,Agricultural and Biological Sciences
29,Arts and Humanities
29,Biochemistry
29,Business
29,Chemical Engineering
29,Chemistry
29,Computer Science
29,Decision Sciences
29,Dentistry
29,Earth and Planetary Sciences
29,Economics
29,Energy
29,Engineering
29,Environmental Science
29,Immunology and Microbiology
29,Materials Science
29,Mathematics
29,Medicine
29,Multidisciplinary
29,Neuroscience
29,Physics and Astronomy
29,Psychology
29,Social Sciences
29,Veterinary
30,Agricultural and Biological Sciences
30,Arts and Humanities
30,Business
30,Computer Science
30,Decision Sciences
30,Earth and Planetary Sciences
30,Economics
30,Energy
30,Engineering
30,Environmental Science
30,Health Professions
30,Mathematics
30,Medicine
30,Multidisciplinary
30,Neuroscience
30,Nursing
30,Psychology
30,Social Sciences
31,Agricultural and Biological Sciences
31,Arts and Humanities
31,Biochemistry
31,Business
31,Computer Science
31,Decision Sciences
31,Dentistry
31,Economics
31,Energy
31,Engineering
31,Environmental Science
31,Health Professions
31,Mathematics
31,Medicine
31,Multidisciplinary
31,Neuroscience
31,Nursing
31,Pharmacology
31,Psychology
31,Social Sciences
32,Agricultural and Biological Sciences
32,Arts and Humanities
32,Business
32,Computer Science
32,Decision Sciences
32,Earth and Planetary Sciences
32,Economics
32,Energy
32,Engineering
32,Environmental Science
32,Health Professions
32,Immunology and Microbiology
32,Mathematics
32,Medicine
32,Multidisciplinary
32,Neuroscience
32,Nursing
32,Physics and Astronomy
32,Psychology
32,Social Sciences
33,Agricultural and Biological Sciences
33,Arts and Humanities
33,Biochemistry
33,Business
33,Computer Science
33,Decision Sciences
33,Dentistry
33,Earth and Planetary Sciences
33,Economics
33,Energy
33,Engineering
33,Environmental Science
33,Health Professions
33,Immunology and Microbiology
33,Mathematics
33,Medicine
33,Multidisciplinary
33,Neuroscience
33,Nursing
33,Pharmacology
33,Psychology
33,Social Sciences
34,Agricultural and Biological Sciences
34,Arts and Humanities
34,Biochemistry
34,Business
34,Chemical Engineering
34,Chemistry
34,Dentistry
34,Earth and Planetary Sciences
34,Economics
34,Environmental Science
34,Health Professions
34,Immunology and Microbiology
34,Materials Science
34,Medicine
34,Multidisciplinary
34,Neuroscience
34,Nursing
34,Pharmacology
34,Psychology
34,Social Sciences
34,Veterinary
35,Agricultural and Biological Sciences
35,Arts and Humanities
35,Biochemistry
35,Business
35,Chemical Engineering
35,Chemistry
35,Computer Science
35,Decision Sciences
35,Earth and Planetary Sciences
35,Economics
35,Energy
35,Engineering
35,Environmental Science
35,Health Professions
35,Immunology and Microbiology
35,Materials Science
35,Mathematics
35,Medicine
35,Multidisciplinary
35,Nursing
35,Pharmacology
35,Psychology
35,Social Sciences
35,Veterinary
36,Agricultural and Biological Sciences
36,Arts and Humanities
36,Business
36,Computer Science
36,Decision Sciences
36,Earth and Planetary Sciences
36,Economics
36,Energy
36,Engineering
36,Environmental Science
36,Health Professions
36,Mathematics
36,Medicine
36,Multidisciplinary
36,Neuroscience
36,Nursing
36,Psychology
36,Social Sciences
36,Veterinary
37,Arts and Humanities
37,Chemical Engineering
37,Chemistry
37,Computer Science
37,Decision Sciences
37,Earth and Planetary Sciences
37,Economics
37,Energy
37,Engineering
37,Materials Science
37,Mathematics
37,Multidisciplinary
37,Physics and Astronomy
38,Agricultural and Biological Sciences
38,Arts and Humanities
38,Biochemistry
38,Business
38,Chemical Engineering
38,Chemistry
38,Computer Science
38,Decision Sciences
38,Dentistry
38,Earth and Planetary Sciences
38,Economics
38,Energy
38,Engineering
38,Environmental Science
38,Health Professions
38,Immunology and Microbiology
38,Materials Science
38,Mathematics
38,Medicine
38,Multidisciplinary
38,Neuroscience
38,Nursing
38,Pharmacology
38,Physics and Astronomy
38,Psychology
38,Social Sciences
39,Agricultural and Biological Sciences
39,Biochemistry
39,Business
39,Chemical Engineering
39,Chemistry
39,Computer Science
39,Decision Sciences
39,Dentistry
39,Earth and Planetary Sciences
39,Economics
39,Energy
39,Engineering
39,Environmental Science
39,Immunology and Microbiology
39,Materials Science
39,Mathematics
39,Medicine
39,Multidisciplinary
39,Neuroscience
39,Pharmacology
39,Physics and Astronomy
39,Veterinary
40,Agricultural and Biological Sciences
40,Biochemistry
40,Business
40,Chemical Engineering
40,Chemistry
40,Computer Science
40,Decision Sciences
40,Earth and Planetary Sciences
40,Economics
40,Energy
40,Engineering
40,Environmental Science
40,Immunology and Microbiology
40,Materials Science
40,Mathematics
40,Multidisciplinary
40,Neuroscience
40,Physics and Astronomy
41,Engineering
41,Materials Science
41,Mathematics
41,Physics and Astronomy
42,Agricultural and Biological Sciences
42,Arts and Humanities
42,Biochemistry
42,Business
42,Computer Science
42,Decision Sciences
42,Dentistry
42,Earth and Planetary Sciences
42,Economics
42,Environmental Science
42,Health Professions
42,Medicine
42,Multidisciplinary
42,Neuroscience
42,Nursing
42,Pharmacology
42,Psychology
42,Social Sciences
42,Veterinary
43,Agricultural and Biological Sciences
43,Arts and Humanities
43,Biochemistry
43,Business
43,Chemical Engineering
43,Chemistry
43,Computer Science
43,Decision Sciences
43,Dentistry
43,Earth and Planetary Sciences
43,Economics
43,Energy
43,Engineering
43,Environmental Science
43,Health Professions
43,Materials Science
43,Mathematics
43,Medicine
43,Multidisciplinary
43,Neuroscience
43,Nursing
43,Pharmacology
43,Physics and Astronomy
43,Psychology
44,Biochemistry
44,Business
44,Computer Science
44,Decision Sciences
44,Economics
44,Energy
44,Engineering
44,Health Professions
44,Mathematics
44,Medicine
44,Multidisciplinary
44,Neuroscience
44,Nursing
44,Pharmacology
44,Psychology
44,Veterinary
45,Agricultural and Biological Sciences
45,Arts and Humanities
45,Business
45,Computer Science
45,Decision Sciences
45,Earth and Planetary Sciences
45,Economics
45,Environmental Science
45,Health Professions
45,Medicine
45,Multidisciplinary
45,Neuroscience
45,Nursing
45,Psychology
45,Social Sciences
45,Veterinary
46,Biochemistry
46,Chemical Engineering
46,Chemistry
46,Computer Science
46,Decision Sciences
46,Dentistry
46,Energy
46,Engineering
46,Immunology and Microbiology
46,Materials Science
46,Mathematics
46,Multidisciplinary
46,Pharmacology
47,Chemical Engineering
47,Chemistry
47,Computer Science
47,Engineering
47,Materials Science
47,Mathematics
47,Multidisciplinary
47,Physics and Astronomy
48,Agricultural and Biological Sciences
48,Arts and Humanities
48,Biochemistry
48,Business
48,Chemical Engineering
48,Chemistry
48,Computer Science
48,Decision Sciences
48,Dentistry
48,Earth and Planetary Sciences
48,Economics
48,Energy
48,Engineering
48,Environmental Science
48,Immunology and Microbiology
48,Materials Science
48,Mathematics
48,Medicine
48,Multidisciplinary
48,Neuroscience
48,Nursing
48,Pharmacology
48,Psychology
48,Social Sciences
48,Veterinary
49,Agricultural and Biological Sciences
49,Arts and Humanities
49,Biochemistry
49,Chemistry
49,Dentistry
49,Environmental Science
49,Immunology and Microbiology
49,Medicine
49,Multidisciplinary
49,Neuroscience
49,Nursing
49,Pharmacology
49,Veterinary
50,Biochemistry
50,Chemical Engineering
50,Chemistry
50,Computer Science
50,Earth and Planetary Sciences
50,Energy
50,Engineering
50,Environmental Science
50,Materials Science
50,Mathematics
50,Multidisciplinary
50,Neuroscience
50,Physics and Astronomy
51,Biochemistry
51,Chemical Engineering
51,Chemistry
51,Computer Science
51,Decision Sciences
51,Earth and Planetary Sciences
51,Energy
51,Engineering
51,Environmental Science
51,Materials Science
51,Mathematics
51,Multidisciplinary
51,Neuroscience
51,Pharmacology
51,Physics and Astronomy
52,Agricultural and Biological Sciences
52,Arts and Humanities
52,Business
52,Chemical Engineering
52,Chemistry
52,Computer Science
52,Decision Sciences
52,Earth and Planetary Sciences
52,Economics
52,Energy
52,Engineering
52,Environmental Science
52,Health Professions
52,Mathematics
52,Medicine
52,Multidisciplinary
52,Neuroscience
52,Nursing
52,Psychology
52,Social Sciences
53,Biochemistry
53,Chemistry
53,Dentistry
53,Immunology and Microbiology
53,Medicine
53,Multidisciplinary
53,Neuroscience
53,Pharmacology
53,Physics and Astronomy
53,Veterinary
54,Chemical Engineering
54,Computer Science
54,Decision Sciences
54,Energy
54,Engineering
54,Materials Science
54,Mathematics
54,Multidisciplinary
54,Physics and Astronomy
55,Arts and Humanities
55,Business
55,Computer Science
55,Decision Sciences
55,Earth and Planetary Sciences
55,Economics
55,Energy
55,Engineering
55,Environmental Science
55,Health Professions
55,Mathematics
55,Medicine
55,Multidisciplinary
55,Neuroscience
55,Nursing
55,Psychology
55,Social Sciences
56,Agricultural and Biological Sciences
56,Arts and Humanities
56,Biochemistry
56,Business
56,Chemistry
56,Dentistry
56,Earth and Planetary Sciences
56,Environmental Science
56,Health Professions
56,Immunology and Microbiology
56,Medicine
56,Multidisciplinary
56,Neuroscience
56,Nursing
56,Pharmacology
56,Psychology
56,Social Sciences
56,Veterinary
57,Agricultural and Biological Sciences
57,Arts and Humanities
57,Biochemistry
57,Business
57,Chemical Engineering
57,Chemistry
57,Computer Science
57,Decision Sciences
57,Dentistry
57,Earth and Planetary Sciences
57,Economics
57,Energy
57,Engineering
57,Environmental Science
57,Health Professions
57,Materials Science
57,Mathematics
57,Medicine
57,Multidisciplinary
57,Neuroscience
57,Nursing
57,Pharmacology
57,Physics and Astronomy
57,Psychology
57,Social Sciences
57,Veterinary
58,Agricultural and Biological Sciences
58,Biochemistry
58,Chemical Engineering
58,Chemistry
58,Dentistry
58,Environmental Science
58,Immunology and Microbiology
58,Medicine
58,Multidisciplinary
58,Neuroscience
58,Pharmacology
58,Veterinary
59,Agricultural and Biological Sciences
59,Arts and Humanities
59,Biochemistry
59,Business
59,Chemical Engineering
59,Chemistry
59,Computer Science
59,Decision Sciences
59,Earth and Planetary Sciences
59,Economics
59,Energy
59,Engineering
59,Environmental Science
59,Materials Science
59,Mathematics
59,Medicine
59,Multidisciplinary
59,Neuroscience
59,Physics and Astronomy
59,Psychology
59,Social Sciences
60,Agricultural and Biological Sciences
60,Arts and Humanities
60,Biochemistry
60,Business
60,Computer Science
60,Decision Sciences
60,Earth and Planetary Sciences
60,Economics
60,Energy
60,Engineering
60,Environmental Science
60,Health Professions
60,Immunology and Microbiology
60,Mathematics
60,Medicine
60,Multidisciplinary
60,Neuroscience
60,Nursing
60,Psychology
60,Social Sciences
60,Veterinary
61,Agricultural and Biological Sciences
61,Arts and Humanities
61,Business
61,Computer Science
61,Decision Sciences
61,Earth and Planetary Sciences
61,Economics
61,Engineering
61,Environmental Science
61,Health Professions
61,Mathematics
61,Medicine
61,Multidisciplinary
61,Neuroscience
61,Nursing
61,Psychology
61,Social Sciences
61,Veterinary
62,Biochemistry
62,Chemical Engineering
62,Chemistry
62,Computer Science
62,Dentistry
62,Engineering
62,Immunology and Microbiology
62,Materials Science
62,Mathematics
62,Medicine
62,Multidisciplinary
62,Neuroscience
62,Pharmacology
62,Physics and Astronomy
62,Veterinary
63,Agricultural and Biological Sciences
63,Arts and Humanities
63,Biochemistry
63,Business
63,Chemical Engineering
63,Chemistry
63,Computer Science
63,Decision Sciences
63,Earth and Planetary Sciences
63,Economics
63,Energy
63,Engineering
63,Environmental Science
63,Health Professions
63,Immunology and Microbiology
63,Materials Science
63,Mathematics
63,Medicine
63,Multidisciplinary
63,Neuroscience
63,Nursing
63,Pharmacology
63,Psychology
63,Social Sciences
63,Veterinary
64,Agricultural and Biological Sciences
64,Biochemistry
64,Chemistry
64,Dentistry
64,Economics
64,Health Professions
64,Immunology and Microbiology
64,Medicine
64,Multidisciplinary
64,Neuroscience
64,Nursing
64,Pharmacology
64,Psychology
64,Veterinary
65,Agricultural and Biological Sciences
65,Arts and Humanities
65,Biochemistry
65,Business
65,Chemistry
65,Decision Sciences
65,Dentistry
65,Earth and Planetary Sciences
65,Economics
65,Environmental Science
65,Immunology and Microbiology
65,Mathematics
65,Medicine
65,Multidisciplinary
65,Neuroscience
65,Pharmacology
65,Psychology
65,Social Sciences
65,Veterinary
66,Agricultural and Biological Sciences
66,Arts and Humanities
66,Biochemistry
66,Business
66,Chemical Engineering
66,Chemistry
66,Computer Science
66,Decision Sciences
66,Earth and Planetary Sciences
66,Economics
66,Energy
66,Engineering
66,Environmental Science
66,Health Professions
66,Materials Science
66,Mathematics
66,Medicine
66,Multidisciplinary
66,Neuroscience
66,Nursing
66,Pharmacology
66,Physics and Astronomy
66,Psychology
66,Social Sciences
67,Agricultural and Biological Sciences
67,Arts and Humanities
67,Biochemistry
67,Business
67,Chemical Engineering
67,Chemistry
67,Computer Science
67,Decision Sciences
67,Earth and Planetary Sciences
67,Economics
67,Energy
67,Engineering
67,Environmental Science
67,Health Professions
67,Materials Science
67,Mathematics
67,Medicine
67,Multidisciplinary
67,Neuroscience
67,Nursing
67,Pharmacology
67,Physics and Astronomy
67,Psychology
67,Social Sciences
68,Agricultural and Biological Sciences
68,Arts and Humanities
68,Biochemistry
68,Business
68,Chemical Engineering
68,Chemistry
68,Computer Science
68,Decision Sciences
68,Earth and Planetary Sciences
68,Economics
68,Energy
68,Engineering
68,Environmental Science
68,Health Professions
68,Immunology and Microbiology
68,Materials Science
68,Mathematics
68,Medicine
68,Multidisciplinary
68,Neuroscience
68,Pharmacology
68,Physics and Astronomy
68,Social Sciences
69,Biochemistry
69,Chemical Engineering
69,Chemistry
69,Computer Science
69,Energy
69,Engineering
69,Environmental Science
69,Materials Science
69,Mathematics
69,Multidisciplinary
69,Pharmacology
69,Physics and Astronomy
70,Agricultural and Biological Sciences
70,Biochemistry
70,Chemical Engineering
70,Chemistry
70,Computer Science
70,Decision Sciences
70,Dentistry
70,Earth and Planetary Sciences
70,Energy
70,Engineering
70,Environmental Science
70,Immunology and Microbiology
70,Materials Science
70,Mathematics
70,Medicine
70,Multidisciplinary
70,Neuroscience
70,Pharmacology
70,Veterinary
71,Agricultural and Biological Sciences
71,Biochemistry
71,Chemical Engineering
71,Chemistry
71,Dentistry
71,Energy
71,Engineering
71,Environmental Science
71,Immunology and Microbiology
71,Materials Science
71,Mathematics
71,Medicine
71,Multidisciplinary
71,Neuroscience
71,Pharmacology
71,Physics and Astronomy
72,Chemical Engineering
72,Chemistry
72,Computer Science
72,Energy
72,Engineering
72,Materials Science
72,Mathematics
72,Multidisciplinary
72,Physics and Astronomy
73,Agricultural and Biological Sciences
73,Arts and Humanities
73,Business
73,Computer Science
73,Decision Sciences
73,Earth and Planetary Sciences
73,Economics
73,Energy
73,Engineering
73,Environmental Science
73,Health Professions
73,Mathematics
73,Medicine
73,Multidisciplinary
73,Neuroscience
73,Nursing
73,Psychology
73,Social Sciences
73,Veterinary
74,Agricultural and Biological Sciences
74,Arts and Humanities
74,Business
74,Computer Science
74,Decision Sciences
74,Earth and Planetary Sciences
74,Economics
74,Engineering
74,Environmental Science
74,Health Professions
74,Mathematics
74,Medicine
74,Multidisciplinary
74,Neuroscience
74,Nursing
74,Psychology
74,Social Sciences
74,Veterinary
75,Agricultural and Biological Sciences
75,Biochemistry
75,Chemical Engineering
75,Chemistry
75,Dentistry
75,Engineering
75,Environmental Science
75,Immunology and Microbiology
75,Materials Science
75,Medicine
75,Multidisciplinary
75,Neuroscience
75,Pharmacology
75,Veterinary
76,Agricultural and Biological Sciences
76,Biochemistry
76,Chemical Engineering
76,Chemistry
76,Computer Science
76,Decision Sciences
76,Earth and Planetary Sciences
76,Energy
76,Engineering
76,Environmental Science
76,Materials Science
76,Mathematics
76,Multidisciplinary
76,Neuroscience
76,Physics and Astronomy
77,Biochemistry
77,Business
77,Chemical Engineering
77,Chemistry
77,Computer Science
77,Decision Sciences
77,Economics
77,Energy
77,Engineering
77,Environmental Science
77,Health Professions
77,Materials Science
77,Mathematics
77,Medicine
77,Multidisciplinary
77,Neuroscience
77,Physics and Astronomy
78,Agricultural and Biological Sciences
78,Biochemistry
78,Chemical Engineering
78,Chemistry
78,Computer Science
78,Decision Sciences
78,Earth and Planetary Sciences
78,Energy
78,Engineering
78,Environmental Science
78,Materials Science
78,Mathematics
78,Multidisciplinary
78,Neuroscience
78,Physics and Astronomy
79,Agricultural and Biological Sciences
79,Biochemistry
79,Chemical Engineering
79,Chemistry
79,Dentistry
79,Immunology and Microbiology
79,Medicine
79,Multidisciplinary
79,Neuroscience
79,Pharmacology
79,Veterinary
80,Biochemistry
80,Chemistry
80,Dentistry
80,Immunology and Microbiology
80,Medicine
80,Multidisciplinary
80,Neuroscience
80,Pharmacology
80,Veterinary
81,Agricultural and Biological Sciences
81,Arts and Humanities
81,Biochemistry
81,Business
81,Chemical Engineering
81,Chemistry
81,Computer Science
81,Decision Sciences
81,Earth and Planetary Sciences
81,Economics
81,Energy
81,Engineering
81,Environmental Science
81,Health Professions
81,Materials Science
81,Mathematics
81,Medicine
81,Multidisciplinary
81,Physics and Astronomy
81,Psychology
81,Social Sciences
82,Agricultural and Biological Sciences
82,Biochemistry
82,Chemical Engineering
82,Chemistry
82,Decision Sciences
82,Dentistry
82,Earth and Planetary Sciences
82,Environmental Science
82,Health Professions
82,Immunology and Microbiology
82,Medicine
82,Multidisciplinary
82,Neuroscience
82,Pharmacology
82,Psychology
82,Veterinary
83,Agricultural and Biological Sciences
83,Arts and Humanities
83,Business
83,Computer Science
83,Decision Sciences
83,Earth and Planetary Sciences
83,Economics
83,Energy
83,Engineering
83,Environmental Science
83,Health Professions
83,Mathematics
83,Medicine
83,Multidisciplinary
83,Nursing
83,Psychology
83,Social Sciences
83,Veterinary
84,Agricultural and Biological Sciences
84,Arts and Humanities
84,Biochemistry
84,Business
84,Chemical Engineering
84,Chemistry
84,Computer Science
84,Decision Sciences
84,Earth and Planetary Sciences
84,Economics
84,Energy
84,Engineering
84,Environmental Science
84,Health Professions
84,Materials Science
84,Mathematics
84,Medicine
84,Multidisciplinary
84,Neuroscience
