doc_id,topic_id,text
10,14,"TITLE: Good deposits are not enough: Mining labor productivity analysis in the copper industry in Chile and Peru 1992-2009 | KEYWORDS: Chile; Copper; Geological features; Labor productivity; Panel data; Peru; Production scale | ABSTRACT: Chile and Peru produce almost 45% of world's mine copper output. This situation reflects their natural endowment and mining tradition, but is also the result of development processes undertaken over the last decades. As a result, both countries multiplied its mine copper production in more than 3 times in the last 20 years. Mining labor productivity played a central role achieving these amazing growth rates. Although there is a consensus about the relevance of this variable for the mining industry, the specific factors behind labor productivity changes are not completely understood.In this paper we use a panel data approach to analyze labor productivity in the copper mining sector in Chile and Peru from 1992 to 2009. This technique is consistent with heterogeneity among mines and allows us to identify, describe and analyze all the different sources behind labor productivity changes.The result of the analysis shows that better deposits and operational factors are important, but not enough to explain labor productivity improvements in the copper mining industry, and instead, company specific efforts and wide industry changes, such as technology and management innovations, are as important as the evolution of the reserve base or geological features of the operations. © 2010 Elsevier Ltd."
11,14,"TITLE: Using exploration expenditures to assess the climate for mineral investment | KEYWORDS: Chile; Direct foreign investment; Mineral exploration; Mining | ABSTRACT: Countries that rely on private investors to find and exploit their mineral resources need reliable indicators of their investment attractiveness. This study explores the use of exploration expenditures for this purpose, focusing primarily on Chile. It finds that exploration expenditures can provide useful insights into both the level and trends in investment attractiveness for individual mineral producing countries. However, for various reasons, it is a country's share of grassroots exploration expenditures for specific metals, rather than its share of total world exploration, that most directly and immediately reflects investment climate. Over the current decade, Chile's shares of world grassroots exploration for gold and (more recently and more modestly) for base metals have fallen, suggesting a deterioration in the country's investment climate for these mineral commodities. The declines, however, are less dramatic than the country's falling share of total world exploration suggests. The study concludes by briefly examining the levels and trends in investment climate for the more important mining countries. Among other trends it finds that Canada and Australia continue to enjoy a high level of attractiveness despite the efforts of many developing countries in recent years to increase private investment in their mineral sectors. © 2008 Elsevier Ltd. All rights reserved."
12,3,"TITLE: Spatial allocation of polling places considering urban mobility applied to Santiago, Chile | KEYWORDS: Mobility simulation; Polling stations; Santiago, Chile | ABSTRACT: A voting process allows the participation of citizens in the decision-making of a country. In Chile, the voting system is only face-to-face at polling places. The assignment historically did not consider the location (trip origins or residence) of voters, causing several mobility problems on election days. In 2022, the situation changed with the georeferencing of voters; therefore, an optimal allocation of polling places considering their initial location, the mobility of voters, and the supply of urban transportation is a critical factor. The research aims to propose a spatial allocation methodology for voters that considers the distance between voters and the closer polling place under a sustainable mobility approach. The optimization model of the location-allocation type analyzes the location of voters, the distance between polling places and voters, the capacity and number of polling places, and the public transport supply. The model is applied to San Miguel (commune) in Santiago, Chile, where the assignment of the electoral roll is modified based on the distance to the available and necessary polling places. The results are evaluated using transport modeling software, comparing the proposed scenarios with the current one. This methodology reduces travel times for voters by 59.83% and the traveled distance reduction from 4,000 to 1,800 meters with respect to the base scenario. A methodology such as the one proposed makes it possible to improve the tactical planning of voting processes regarding the supply of polling places, public transport supply, accessibility, and others."
13,3,"TITLE: Spatial analysis of public transportation infrastructure in Santiago, Chile, using the continuous approximation method | KEYWORDS: Chile; Concentric city; Continuous approximation; Network design; Santiago; Subway | ABSTRACT: Santiago, the capital city of Chile, has seven million inhabitants in an area of 850 km2. This city has a metro network with seven lines extending 140 kilometers and transports approximately 2.6 million people daily. The bus system has undergone significant transformations over the last three decades. The most relevant change having been Transantiago, the public transportation system implemented in 2007 for Santiago, Child, which combines the use of Metro and buses (BRT). Metropolitan Mobility Network (called Red) is the latest version of the public transportation plan. This paper aims to analyze the current subway infrastructure using the continuous approximation method for Santiago, Chile. We previously proposed a macroscopic methodology to identify the needs for an adequate level of service in urban mobility and transportation, and we applied it to Santiago's Metro network. Our work focuses on functionality and demand distribution. Santiago's demand varies spatially in volume and extension throughout the city. Using the latest origin-destination survey from 2012, we deduct the critical components in this current network structure. It is worth mentioning that the Metro design bases its network on a ring-radial structure. With our macroscopic model applied to Santiago, Chile, we have detected infrastructure needs in the current transit network. The supply of infrastructure should increase for two reasons: first, to achieve balanced cost levels between users and the agency and second, to reduce subway occupations. The optimal model outcomes for Santiago define the optimal network in which the system requires five rings and ten end-To-end longitudinal lines (20 radial routes), including lower levels of occupation. The obtained results are a good preliminary solution, considering the subway infrastructure supply could be sub-estimated in the public transportation plan."
14,3,"TITLE: Operational cost and user performance analysis of on-demand bus and taxi systems | KEYWORDS: bus services; demand-responsive transport; flexible routes; On-demand transit services; public transport; taxis | ABSTRACT: This paper presents the optimization problem of three different on-demand transit systems operated by vehicles of different sizes. This problem is aimed at minimizing the total cost of the system, which consists of the temporal cost experienced by users and the operating cost incurred by transit agencies. A compact set of estimations of the user performance and operating cost is provided, based on geometric probability. The optimization procedure allows the cost comparison of different semi-flexible services. Transit systems operated by cars (shared taxicabs) with flexible layouts are preferable for low demand densities (less than 92 pax/km2-h). For very high demand (higher than 200 pax/km2-h), bus systems with fixed layout and variable stop locations present the lowest total cost per passenger. In an intermediate domain, taxi and semi-flexible services compete among each other. The estimation of unit operating costs allows decision-makers to calculate the subsidies needed to make the system profitable."
15,3,"TITLE: Modeling public transportation networks for a circular city: The role of urban subcenters and mobility density | KEYWORDS: Continuous approximation method; Public transportation network design; Urban subcenter | ABSTRACT: The concentration of both employment and services in a specific area of a town generates positive effects, but also impacts (congestion, transit issues, and others). Urban subcenters seek to approach economic activities to residents in peripheral urban spaces. The objective of this research is to evaluate the contribution to the mobility of implementing urban subcenters in a city. The model has a total cost function (users and agency costs) on a circular city (ring and radial routes) formulated using the continuous approximation method. The model solution addresses with mathematical optimization. The model evaluates a BRT network applied to scenarios of urban subcenters. The results of the modeling show that the implementation of subcenters obtains savings of 3.5% in rush hour. Thus, this strategy of urban planning generates improvements in the functioning of a public transportation system. Moreover, the maximum benefits are obtained in medium-sized subcenters in comparison to the CBD, which allows balancing user and agency costs. Therefore, the outcomes may be better with an urban pattern with subcenters, and a transit scheme adapted to the demand needs."
16,3,"TITLE: Exploring paradigm shift impacts in urban mobility: Autonomous Vehicles and Smart Cities | KEYWORDS: autonomous car; continuous approximation; urban road network | ABSTRACT: Urban mobility is a dynamic system that has had a (slow) natural evolution. Scientists and engineers are currently developing new mobility technologies. A progressive paradigm shift will change everything from the fuel type to the way of driving vehicles. Vehicles will progressively become autonomous and will communicate and cooperate with each other. In the long run, profound changes are expected in mobility as a service. Furthermore, urban areas will have a higher level of development, and cities will likely turn into Smart Cities in which the vehicles will interact with the urban infrastructure. The main objective of this paper is to explore the macroscopic effects of mobility interaction in a radial-circular urban road system for current and future cities (Smart Cities). In the literature, there is documentation of the direct effects of autonomous vehicles, but some indirect effects will cause undesirable impacts such as an increase in demand and more congestion, which change the demand behavior and the urban structure. Finally, this paper exhibits the results of direct and indirect effects calculated through analytical tools (Continuous Approximation Method). In fact, our research shows that if demand increases by about 50%, the current scenario could have the same total cost as the future scenario with autonomous vehicles. Moreover, if the city radius increases by about 33% and the subjective value of time decreases about 20%, the benefits of the autonomous cars will be compensated. Therefore, the paper proves that autonomous vehicles could encourage the urban sprawl in the long run. Finally, Administrations should define transport strategies and policies to control these externalities, because autonomous driving could deteriorate mobility even worse than it is now."
17,8,"TITLE: Location factors and dynamics of tree plantation expansion in two coastal river basins in south-central Chile: basis for land use planning | KEYWORDS: drivers; land cover change; location factors; logistic regression; multimodel inference; Tree plantations | ABSTRACT: Tree plantations have expanded rapidly during the last decades, specially in Asia and South America, and Chile has shown one of the largest increases in tree plantations in the world. The aim of this study was to analyze the dynamic and factors statistically associated with the expansion of tree plantations in two coastal basins in south-central Chile. We used logistic regression and a multimodel inference approach to assess the association of 13 location factors with tree plantation expansion in two periods (1987–2001; 2001–2015). The area of tree plantations increased by 292% and 196% in the Budi and Lingue basins, respectively. The presence of agriculture fields before conversion to tree plantations showed the greatest effect in both basins, followed by the suitability of the soil for forestry. Likewise, tree plantations were highly associated with the replacement of native vegetation, contributing to ongoing deforestation, and changes in forest policy increased the expansion in indigenous land."
18,4,"TITLE: Translating sociocultural transformations into historical maps on land use changes: the case of Lafkenmapu (Araucanía, Chile) | KEYWORDS: Araucanía; Historical maps; land use; Mapuche Lafkenche | ABSTRACT: While it is widely known that socio-cultural transformations have a spatial impact on geographical areas, limited attention has been paid to mapping such transformations. This paper aims to explore how historical maps of land-use changes can be excellent tools for this purpose. The Lafkenmapu area in Chile, which has undergone critical socio-cultural transformations over the last five centuries, served as a case study. A total of five historical periods were described and translated into land-use change maps (pre-Hispanic; colonial; post-colonial; state consolidation; present). Non-cartographic (e.g. historical chronicles and publications) and cartographic sources (historical maps, aerial photography and satellite images) were integrated for each period to create a timeline map. Finally, some concluding remarks discuss the added value of the maps as a tool for a better understanding of the impact of socio-cultural transformations on land use and population distribution."
19,0,"TITLE: Mapuche-Pewenche knowledge transmitted by teachers and parents: perception of schoolchildren in rural schools of the Araucanía region (Chile) | KEYWORDS: indigenous language; intercultural education; knowledge; Mapuche-pewenche; rural schools | ABSTRACT: In Chile, two public policies focusing on teaching-learning among primary school children have been implemented to contribute to the development of the language and culture of indigenous peoples and to the formation of intercultural citizens: 1) the Bilingual Intercultural Education Programme (PEIB); and 2) the Indigenous Language Sector (SLI). The present study assessed perception of Mapuche knowledge among schoolchildren in schools located in the Mapuche-Pewenche territory of the Araucanía Region. The methodology used for data collection was analytical-observational with a Likert-type questionnaire, applied to children in schools registered and not registered for these policies. The statements had two dimensions: the roles assumed in the transmission of knowledge by these public policies and by families respectively. The results showed that the children belonging to schools registered for these policies, expressed disagreement with most of the statements concerning the transmission of that knowledge; while the children in schools not registered for the policies considered that there was indeed transmission of knowledge. The latter result was related to the loss of valuation of this knowledge by these children. In both cases, the children recognised that knowledge is transmitted fundamentally within the family."
20,0,"TITLE: Priorización de territorios para la gestión educativa en la Araucanía (Chile) | KEYWORDS: Geography; Learning; Mathematics; Primary education; Simce; Stakeholder | ABSTRACT: In Chile, and particularly the Araucanía Region, mathematics learning has not reached the levels of development expected in the initial stages of formal education, as compared to other areas such as language. This study proposes to prioritize territories for educational management of mathematics through spatial and temporal assessment of results in the Sistema Nacional de Calidad de la Educación (simce) test applied to children in 4th grade primary education during the period 1999-2011. This research suggests that there are more groups of territories than can be associated with the three levels of achievement traditionally used in Chile and that educational management should be applied at census district scale, considering differentiated policies for the different groups prioritized."
21,8,"TITLE: Level of knowledge of the new law of native forest and forestry development: The case of small forest owners in the coastal range of Nahuelbuta (Chile) Nivel de conocimiento de la nueva Ley de bosque nativo y fomento forestal: El caso de los pequeños propietarios forestales de la cordillera de Nahuelbuta (Chile) | KEYWORDS: Legal instruments; Native forest; Public policy; Rural areas; Territorial planning | ABSTRACT: We assessed the level of knowledge of the new law of native forests and forestry development held by small forest owners in two areas of the Cordillera de Nahuelbuta in Chile. For this purpose, a survey was applied to 53 individuals (10% of households), which addressed five themes: (1) use of native forests, (2) participation in social networks and access to information, (3) general knowledge about the law, and (4) knowledge regarding the administration, and (5) promotion of the Law. The results showed that: (1) native forests used for wood and non wood products, (2) networks social and especially radio are essential for the transfer of information, (3) both the general knowledge of the law, as (4) the level of knowledge regarding the administration of the Law is insufficient, and (5) procedures are not known to be made to obtain the benefits of the Law. We concluded that: (1) the level of knowledge of the law is insufficient, (2) is essential to encourage the use of the instruments of this Law in the entire territory, so as to ensure sustainable resource use, and (3) the dissemination of the benefits of the Law must consider traditional forms of communication, level of education and culture of rural areas."
22,4,"TITLE: Morphology and dune dynamics in the coastal border of Araucania region in Chile. Background for conservation and territorial management Morfología y dinámica dunaria en el borde costero de la región de la araucanía en chile. Antecedentes para la conservación y gestión territoria | KEYWORDS: Degree of stabilization; Dune dynamics; Territorial management | ABSTRACT: An evaluation was made of the dynamics of the dune systems of the coastal strip of the Araucanía region between 1994 and 2004, based on its morphological classification and degree of stabilization as evaluated from cartographic material, aerial photographs and investigation in the field. Eight fields of dunes were defined with a total surface area of 4,597 ha being stated a total expansion of 314 ha in the period; active dunes represented 35% of the total area, while semi-stabilized and stabilized dunes represented 31% and 15% respectively. The most common type of morphology was transverse dunes and the most frequent plant species were Pinus radiata and Ammophila arenaria. Finally, the localization and the determination of the stabilization grades and dunaries shapes allow to recognize the action of the natural and anthropic factors, these integrally require to be tackle as a frame for an integrated management of this coastal zone."
23,0,"TITLE: Factors that motivate academic dishonesty acts in pharmacy students at the Chilean university Factores que atentan contra la integridad académica de estudiantes de Química y Farmacia en una universidad chilena | KEYWORDS: Academic integrity; Dishonesty; Factors; Pharmacy; Students | ABSTRACT: Introduction: Academic integrity is defined as the adoption by the student body of values that govern their professional training such as honesty, trust, fairness, respect, responsibility, and courage. In pharmacy programs, lack of academic integrity reaches up to 90%, with socioeconomic, personal, and academic reasons being among the main factors. The objective of this study was to evaluate the factors that influence academic integrity of Chemistry and Pharmacy students at the Universidad Católica del Norte. Methods: Descriptive cross - sectional study, which included Pharmacy students, to whom a survey of 31 statements with responses on a Likert-type scale was applied, which allowed us to collect the factors that influence academic integrity. Results: Out of a total of 113 students, 60.2% were female, average age of 23.1 ± 3.2 years, and 16 (14.1%) corresponded to the 2020-2021 cohorts. The main motivations to commit dishonest acts perceived by the students were “socioeconomic, socio-cultural and family” reasons as well as “personal characteristics”, such as the fear of losing scholarships, failing a course and fear of career failure. The comparison between 2020-2021 cohorts and the rest of the generations showed significant differences in the “socioeconomic, sociocultural and family” grouped perceptions category (p = 0.002). Conclusion: Recognizing the causes of academic dishonesty allows us to implement preventive strategies that focus towards the development of an academic integrity based culture and attitudinal skills of self-efficacy in the student body, which contribute to an ethical professional training and performance."
24,0,"TITLE: Perception on the behaviors that relate to academic integrity in Pharmacy students at a Chilean university Percepción sobre las conductas relacionadas con la integridad académica en estudiantes de Química y Farmacia en una universidad chilena | KEYWORDS: Academic integrity; Behaviors; Dishonesty; Pharmacy; Students | ABSTRACT: Introduction: Over 50% of college students commit either fraud or plagiarism in their academic activities, reaching up to 90% among pharmacy students. There are no articles available in Chile to address academic integrity. The aim of this Study is to assess the perception on the conducts that relate to academic integrity of pharmacist students of the Universidad Católica del Norte, Chile. Method: A quantitative, descriptive, cross-sectional and non-probabilistic study for convenience sample, in which an email and social network distributed expert peers aproved survey was conducted, including 11 written simulations showing dishonest conducts; students were required to recognize in every situation the person accountable of misconduct and to point out if they had witnessed these conducts during their college career. Results: Out of a total of 126 students, 60% where female, average age of 22.9 ± 3.2 years and 21 (16.7%) belonged to the 2020-2021 cohort. 98.8% of the students recognized plagiarism in the written simulation scenarios; the least recognized conduct was concealment (58.7%; p < 0.0001). 90% of the students indicated that they had witnessed at least one situation involving concealment or deceit during their college career. Comparison between 2020-2021 cohort and the rest of the cohorts showed no statistically significant differences neither in a concealment situation (p = 0.115) nor in a collusion situation (p = 0.186). Conclusion: To promote ethical training, preventive strategies must be implemented; such strategies will allow the student body to detect dishonest attitudes and behaviors within a college environment, which will have a positive impact on their vocational training."
25,-1,"TITLE: Wallmapu-Araucanía in flames! An historical political ecology of fire in the domination of southern Chile | KEYWORDS: Colonialism; Fire; Historical political ecology; Landscapes of power; Resistance; Wallmapu-Araucanía | ABSTRACT: The conflict over Wallmapu-Araucanía in southern Chile, between the Spanish conquistadores, the Chilean state and the Mapuche peoples, dates from the 16th century, with a key moment being the forced integration of Mapuche land into the Chilean state in the late nineteenth century. This paper discusses this long period of conflict in three moments: conquest, occupation and liberation, and it focuses on the use of fire as a politico-symbolic and techno-productive tool. A ‘landscapes of power framework’ is used for this historical political ecology analysis, based on texts from the nineteenth century to the present. The conclusions point to the historical importance of the use of fire as a tool not only for physical changes in the landscape, but principally as a tool of political symbolism that relates to a history of conflict of terror and displacement, used by the forces of occupation and resistance."
26,6,"TITLE: SAME STRUGGLE, DIFFERENT GOALS: TERRITORIAL STRATEGIES FOR THE RIGHT TO THE CITY IN TWO ENCAMPMENTS IN TEMUCO, CHILE | KEYWORDS: informal settlements; public policies; social mapping; territorial planning; urban marginality | ABSTRACT: The housing encampments in Chile represent urban marginalization in the country. Due to the limited housing options the State provides, these settlements have historically developed forms of organization and struggle in search of their right to the city. Essentially, these actions focus on self-management to obtain a place to live. However, despite sharing similar needs, these groups show diverse forms of struggle. In the current context, with a growing demand for housing in the country, various strategies these groups adopt to integrate into the city can be observed. This article focuses on analyzing the occupation and spatial governance strategies implemented in two encampments located in the city of Temuco, Chile: Los Pinos and Los Ripieros, through a qualitative approach based on the application of a social mapping to the leaders of both settlements and the exploration of narratives related to past and future spatial governance. Differences were identified between these two encampments. Although they share a contiguous physical location and emerged at the same time, the results reveal that, despite initial similarities in urban development, there are differences in the motivations guiding their future actions. While Los Ripieros actively seeks to influence obtaining a permanent housing solution in other sectors of the city, Los Pinos chooses to get involved within the framework of existing urban regulations to secure a housing solution in the same place. These findings enrich the discussion on urban marginality by showing that the struggles for space of excluded groups are centered on the balance between rootedness and obtaining housing. The latter is vital for the state to consider when designing urban policies."
27,-1,"TITLE: Fire’s role in deterritorialization and reterritorialization processes in La Araucanía 1862 – 1930 El rol del fuego en los procesos de desterritorialización y reterritorialización de La Araucanía 1862 – 1930 | KEYWORDS: Araucanía; deterritorialization; fire; reterritorialization; territory | ABSTRACT: This paper analyses territorial transformation processes linked to deterritorialization and reterritorialization phenomena that took place in La Araucanía. Departing from the identification of a common agent-fire-, it applies content analyses approach over documentary sources associated to occupational historical processes, identifying four key dimensions that make it possible to understand fire’s role into the transformation of spatial processes. The main findings indicate that fire is constantly connected to deterritorialization and reterritorialization processes, being part of the inhabitant’s practices as well as a tool for territorial power and control."
